song_name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
MY PYT,['Wale'],66,0.563,0.414,0,-11.409,1,0.37,0.0298,0,0.0854,0.446,193.549,audio_features,4jK1VQQGDnNOLfyVXCxGsR,spotify:track:4jK1VQQGDnNOLfyVXCxGsR,https://api.spotify.com/v1/tracks/4jK1VQQGDnNOLfyVXCxGsR,https://api.spotify.com/v1/audio-analysis/4jK1VQQGDnNOLfyVXCxGsR,235652,4
Caroline,['Aminé'],78,0.941,0.323,10,-10.307,1,0.506,0.176,0,0.205,0.662,120.036,audio_features,5hTpBe8h35rJ67eAWHQsJx,spotify:track:5hTpBe8h35rJ67eAWHQsJx,https://api.spotify.com/v1/tracks/5hTpBe8h35rJ67eAWHQsJx,https://api.spotify.com/v1/audio-analysis/5hTpBe8h35rJ67eAWHQsJx,209640,4
Big Rings - Originally performed by Drake and Future,['2016 Dynamo Hitz'],2,0.851,0.422,8,-13.665,0,0.314,0.0202,0,0.189,0.145,132.024,audio_features,6kK8TzZrPQGtj59owltWG3,spotify:track:6kK8TzZrPQGtj59owltWG3,https://api.spotify.com/v1/tracks/6kK8TzZrPQGtj59owltWG3,https://api.spotify.com/v1/audio-analysis/6kK8TzZrPQGtj59owltWG3,225071,4
Might Not,"['Belly', 'The Weeknd']",67,0.792,0.563,1,-4.838,1,0.0793,0.283,0,0.128,0.288,133.996,audio_features,5e9aFSdnkQUrm5y8Dhw0qN,spotify:track:5e9aFSdnkQUrm5y8Dhw0qN,https://api.spotify.com/v1/tracks/5e9aFSdnkQUrm5y8Dhw0qN,https://api.spotify.com/v1/audio-analysis/5e9aFSdnkQUrm5y8Dhw0qN,224213,4
Where Ya At,"['Future', 'Drake']",72,0.813,0.453,1,-6.941,1,0.338,0.0933,0,0.14,0.191,161.997,audio_features,5nN8BwAQDJDguq7Dpd3JQQ,spotify:track:5nN8BwAQDJDguq7Dpd3JQQ,https://api.spotify.com/v1/tracks/5nN8BwAQDJDguq7Dpd3JQQ,https://api.spotify.com/v1/audio-analysis/5nN8BwAQDJDguq7Dpd3JQQ,208027,4
Wake Up,['Fetty Wap'],64,0.647,0.673,5,-5.992,1,0.176,0.172,0,0.223,0.527,179.971,audio_features,6BOtDFg6GJm0rPUDuNmx57,spotify:track:6BOtDFg6GJm0rPUDuNmx57,https://api.spotify.com/v1/tracks/6BOtDFg6GJm0rPUDuNmx57,https://api.spotify.com/v1/audio-analysis/6BOtDFg6GJm0rPUDuNmx57,224000,4
Childs Play,['Drake'],68,0.739,0.472,1,-11.204,1,0.156,0.0145,7.27e-06,0.207,0.289,80.03,audio_features,3NxAG2ni1lLa8RKL6a0INc,spotify:track:3NxAG2ni1lLa8RKL6a0INc,https://api.spotify.com/v1/tracks/3NxAG2ni1lLa8RKL6a0INc,https://api.spotify.com/v1/audio-analysis/3NxAG2ni1lLa8RKL6a0INc,241400,4
WTF (Where They From) [feat. Pharrell Williams],"['Missy Elliott', 'Pharrell Williams']",61,0.932,0.819,8,-3.484,0,0.203,0.0181,6.81e-06,0.0577,0.556,119.941,audio_features,7IAa7vUJ11STN7le8XaxsH,spotify:track:7IAa7vUJ11STN7le8XaxsH,https://api.spotify.com/v1/tracks/7IAa7vUJ11STN7le8XaxsH,https://api.spotify.com/v1/audio-analysis/7IAa7vUJ11STN7le8XaxsH,192773,4
One Night,['Lil Yachty'],76,0.762,0.476,0,-12.686,1,0.114,0.366,0,0.103,0.375,130.007,audio_features,40yJGQyEaBbIkXpwMFkXip,spotify:track:40yJGQyEaBbIkXpwMFkXip,https://api.spotify.com/v1/tracks/40yJGQyEaBbIkXpwMFkXip,https://api.spotify.com/v1/audio-analysis/40yJGQyEaBbIkXpwMFkXip,243270,4
Promise,"['Kid Ink', 'Fetty Wap']",71,0.797,0.469,8,-8.112,1,0.0646,0.0599,0,0.0753,0.481,103.057,audio_features,5IZc3KIVFhjzJ0L2kiXzUl,spotify:track:5IZc3KIVFhjzJ0L2kiXzUl,https://api.spotify.com/v1/tracks/5IZc3KIVFhjzJ0L2kiXzUl,https://api.spotify.com/v1/audio-analysis/5IZc3KIVFhjzJ0L2kiXzUl,224240,4
"Wat U Mean (Aye, Aye, Aye)",['Dae Dae'],61,0.923,0.599,6,-4.888,1,0.238,0.07,1.23e-06,0.0951,0.667,138.024,audio_features,46IdjlVO3EmaMqooXZ1Hcu,spotify:track:46IdjlVO3EmaMqooXZ1Hcu,https://api.spotify.com/v1/tracks/46IdjlVO3EmaMqooXZ1Hcu,https://api.spotify.com/v1/audio-analysis/46IdjlVO3EmaMqooXZ1Hcu,181739,4
Hype,['Drake'],64,0.789,0.608,7,-8.288,1,0.189,0.0244,0,0.368,0.271,129.958,audio_features,5NFYuqu8V6QXc6mzcLImd6,spotify:track:5NFYuqu8V6QXc6mzcLImd6,https://api.spotify.com/v1/tracks/5NFYuqu8V6QXc6mzcLImd6,https://api.spotify.com/v1/audio-analysis/5NFYuqu8V6QXc6mzcLImd6,209413,4
Back Up,"['DeJ Loaf', 'Big Sean']",62,0.816,0.535,9,-8.302,1,0.338,0.147,4.53e-06,0.176,0.435,80.012,audio_features,0sr5LOMv4x0jmTYfe6oOvP,spotify:track:0sr5LOMv4x0jmTYfe6oOvP,https://api.spotify.com/v1/tracks/0sr5LOMv4x0jmTYfe6oOvP,https://api.spotify.com/v1/audio-analysis/0sr5LOMv4x0jmTYfe6oOvP,241267,4
song_name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
See You Again (feat. Charlie Puth),"['Wiz Khalifa', 'Charlie Puth']",74,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,audio_features,2JzZzZUQj3Qff7wapcbKjc,spotify:track:2JzZzZUQj3Qff7wapcbKjc,https://api.spotify.com/v1/tracks/2JzZzZUQj3Qff7wapcbKjc,https://api.spotify.com/v1/audio-analysis/2JzZzZUQj3Qff7wapcbKjc,229526,4
Trap Queen,['Fetty Wap'],74,0.746,0.873,7,-3.803,1,0.128,0.0244,0,0.354,0.817,148.075,audio_features,2d8JP84HNLKhmd6IYOoupQ,spotify:track:2d8JP84HNLKhmd6IYOoupQ,https://api.spotify.com/v1/tracks/2d8JP84HNLKhmd6IYOoupQ,https://api.spotify.com/v1/audio-analysis/2d8JP84HNLKhmd6IYOoupQ,222093,4
Watch Me (Whip / Nae Nae),['Silentó'],62,0.825,0.77,8,-8.508,1,0.134,0.265,0,0.334,0.965,139.982,audio_features,5RIVoVdkDLEygELLCniZFr,spotify:track:5RIVoVdkDLEygELLCniZFr,https://api.spotify.com/v1/tracks/5RIVoVdkDLEygELLCniZFr,https://api.spotify.com/v1/audio-analysis/5RIVoVdkDLEygELLCniZFr,185131,4
679 (feat. Remy Boyz),"['Fetty Wap', 'Remy Boyz']",76,0.618,0.717,7,-5.738,1,0.318,0.00256,0,0.625,0.603,190.05,audio_features,5NQbUaeTEOGdD6hHcre0dZ,spotify:track:5NQbUaeTEOGdD6hHcre0dZ,https://api.spotify.com/v1/tracks/5NQbUaeTEOGdD6hHcre0dZ,https://api.spotify.com/v1/audio-analysis/5NQbUaeTEOGdD6hHcre0dZ,196693,4
Hotline Bling,['Drake'],71,0.903,0.621,2,-8.132,1,0.0578,0.00302,0.000186,0.0504,0.553,134.969,audio_features,0wwPcA6wtMf6HUMpIRdeP7,spotify:track:0wwPcA6wtMf6HUMpIRdeP7,https://api.spotify.com/v1/tracks/0wwPcA6wtMf6HUMpIRdeP7,https://api.spotify.com/v1/audio-analysis/0wwPcA6wtMf6HUMpIRdeP7,267067,4
Time of Our Lives - Tribute to Pitbull and Ne-Yo (Instrumental Version),['Pop Beatz'],3,0.824,0.336,6,-15.052,1,0.0813,0.0015,0.855,0.117,0.199,124.043,audio_features,58aBv8eqL5VOg1smeE8cS3,spotify:track:58aBv8eqL5VOg1smeE8cS3,https://api.spotify.com/v1/tracks/58aBv8eqL5VOg1smeE8cS3,https://api.spotify.com/v1/audio-analysis/58aBv8eqL5VOg1smeE8cS3,230400,4
